Date,Season,HomeTeam,AwayTeam,Result,home_form_points,home_form_gf,home_form_ga,home_form_gd,away_form_points,away_form_gf,away_form_ga,away_form_gd,form_points_diff,form_gd_diff,home_trend,away_trend,trend_diff,home_home_ppg,home_home_gf,home_home_ga,away_away_ppg,away_away_gf,away_away_ga,home_advantage,home_days_rest,away_days_rest,rest_diff,home_season_points,home_season_gd,home_season_position,away_season_points,away_season_gd,away_season_position,position_diff,points_diff_season,h2h_home_wins,h2h_draws,h2h_away_wins,season_phase,home_goal_variance,away_goal_variance,home_streak,away_streak,streak_diff,home_home_streak,away_away_streak
2024-08-31,2425,Stuttgart,Mainz,D,9,10,7,3,9,9,4,5,0,-2,-1.33,0.0,-1.33,2.6,3.0,0.8,1.2,1.2,2.2,1.4000000000000001,7,7,0,0,-4,16,2,0,11,-5,-2,3,2,0,1,1.587658084008449,1.421592838400988,1,0,1,3,1
2024-08-31,2425,Bochum,M'gladbach,A,3,5,14,-9,2,7,13,-6,1,-3,-2.0,-1.0,-1.0,1.0,1.4,2.4,1.0,1.8,2.4,0.0,7,8,-1,0,-2,14,0,-2,12,-2,0,1,0,4,1,1.2770724421209858,1.7014371216408566,-3,-3,0,0,-1
2024-08-31,2425,Ein Frankfurt,Hoffenheim,H,2,4,12,-8,13,17,7,10,-11,-18,0.0,1.67,-1.67,1.2,1.4,1.8,0.6,2.2,2.4,0.6,7,7,0,0,-4,17,6,2,6,-11,-6,3,1,1,1,1.6290322580645162,1.6705681603814035,-2,4,-6,0,-3
2024-08-31,2425,Holstein Kiel,Wolfsburg,A,0,4,6,-2,3,8,11,-3,-3,1,0.0,-2.0,2.0,0.0,0.0,0.0,1.2,0.8,1.6,-1.2,7,6,1,0,-2,13,0,-2,15,2,0,0,0,0,1,0.0,1.6871345029239762,-2,-5,3,0,-1
2024-08-31,2425,Werder Bremen,Dortmund,D,7,11,8,3,12,13,4,9,-5,-6,0.0,2.0,-2.0,1.4,1.8,1.6,1.8,1.4,1.8,-0.40000000000000013,7,7,0,2,0,10,6,4,3,-7,-4,1,0,4,1,1.3386670332924404,2.1880348476273777,0,2,-2,1,1
2024-08-31,2425,Leverkusen,RB Leipzig,A,15,18,6,12,9,6,4,2,6,10,0.67,0.67,0.0,2.6,2.6,0.8,2.2,2.8,1.2,0.3999999999999999,8,7,1,6,2,5,6,2,7,2,0,3,0,2,1,2.068391898612611,2.226624956551964,5,2,3,1,0
2024-09-01,2425,Bayern Munich,Freiburg,H,9,11,11,0,8,8,5,3,1,-3,0.0,1.33,-1.33,2.4,2.8,0.8,2.0,1.4,0.6,0.3999999999999999,7,8,-1,6,2,8,6,4,4,-4,0,4,1,0,1,3.003695700639674,1.32941325775202,4,1,3,3,-1
2024-09-01,2425,Heidenheim,Augsburg,H,11,10,3,7,2,6,12,-6,9,13,1.33,0.67,0.66,1.6,2.0,1.4,0.6,1.4,2.8,1.0,7,8,-1,6,4,5,2,0,14,9,4,0,0,2,1,1.1142857142857143,1.2004596045343074,3,0,3,1,-3
2024-09-01,2425,Heidenheim,Augsburg,H,11,10,3,7,2,6,12,-6,9,13,1.33,0.67,0.66,1.6,2.0,1.4,0.6,1.4,2.8,1.0,7,8,-1,6,4,5,2,0,14,9,4,0,0,2,1,1.1142857142857143,1.2004596045343074,3,0,3,1,-3
2024-09-01,2425,Bayern Munich,Freiburg,H,9,11,11,0,8,8,5,3,1,-3,0.0,1.33,-1.33,2.4,2.8,0.8,2.0,1.4,0.6,0.3999999999999999,7,8,-1,6,2,8,6,4,4,-4,0,4,1,0,1,3.003695700639674,1.32941325775202,4,1,3,3,-1
2024-09-13,2425,Dortmund,Heidenheim,H,11,8,0,8,15,16,1,15,-4,-7,-0.33,0.67,-1.0,2.6,2.8,0.4,2.2,1.4,0.4,0.3999999999999999,13,12,1,8,4,4,12,12,1,-3,-4,0,2,0,1,2.2027849345718353,1.3741109530583213,0,5,-5,4,2
2024-09-13,2425,Dortmund,Heidenheim,H,11,8,0,8,15,16,1,15,-4,-7,-0.33,0.67,-1.0,2.6,2.8,0.4,2.2,1.4,0.4,0.3999999999999999,13,12,1,8,4,4,12,12,1,-3,-4,0,2,0,1,2.2027849345718353,1.3741109530583213,0,5,-5,4,2
2024-09-14,2425,RB Leipzig,Union Berlin,D,13,10,6,4,11,6,3,3,2,1,1.33,1.0,0.33000000000000007,2.6,2.0,0.4,0.6,0.8,1.4,2.0,14,15,-1,12,4,4,8,2,5,1,4,2,0,3,1,2.2179710144927536,1.3041326157730382,4,2,2,2,0
2024-09-14,2425,Wolfsburg,Ein Frankfurt,A,6,9,9,0,7,8,8,0,-1,0,2.0,1.33,0.6699999999999999,1.2,1.8,1.8,0.2,0.4,2.0,1.0,14,14,0,6,2,7,6,0,10,3,0,3,2,0,1,1.6788850091531629,1.6325767848667705,-3,0,-3,-1,-2
2024-09-14,2425,Holstein Kiel,Bayern Munich,A,0,4,10,-6,12,12,8,4,-12,-10,0.0,1.0,-1.0,0.0,0.0,2.0,1.8,2.8,2.4,-1.8,14,13,1,0,-6,16,12,6,3,-13,-12,0,0,0,1,1.3333333333333333,2.9888721269238587,-4,6,-10,-2,1
2024-09-14,2425,Hoffenheim,Leverkusen,A,9,12,12,0,9,12,11,1,0,-1,-2.0,-2.0,0.0,2.6,3.0,2.0,2.6,3.4,1.2,0.0,14,14,0,6,-2,11,6,0,8,-3,0,1,0,4,1,1.663426333988745,2.0564106041087533,2,3,-1,3,4
2024-09-14,2425,RB Leipzig,Union Berlin,D,13,10,6,4,11,6,3,3,2,1,1.33,1.0,0.33000000000000007,2.6,2.0,0.4,0.6,0.8,1.4,2.0,14,15,-1,12,4,4,8,2,5,1,4,2,0,3,1,2.2179710144927536,1.3041326157730382,4,2,2,2,0
2024-09-14,2425,M'gladbach,Stuttgart,A,6,8,10,-2,5,12,12,0,1,-2,1.67,-1.33,3.0,0.4,1.2,1.8,0.8,1.2,2.0,-0.4,14,14,0,6,2,6,2,-4,14,8,4,2,0,3,1,1.692241846904875,1.5947299077733859,-1,0,-1,-2,-1
2024-09-14,2425,Hoffenheim,Leverkusen,A,9,12,12,0,9,12,11,1,0,-1,-2.0,-2.0,0.0,2.6,3.0,2.0,2.6,3.4,1.2,0.0,14,14,0,6,-2,11,6,0,8,-3,0,1,0,4,1,1.663426333988745,2.0564106041087533,2,3,-1,3,4
2024-09-14,2425,Holstein Kiel,Bayern Munich,A,0,4,10,-6,12,12,8,4,-12,-10,0.0,1.0,-1.0,0.0,0.0,2.0,1.8,2.8,2.4,-1.8,14,13,1,0,-6,16,12,6,3,-13,-12,0,0,0,1,1.3333333333333333,2.9888721269238587,-4,6,-10,-2,1
2024-09-14,2425,Freiburg,Bochum,H,6,7,8,-1,0,1,10,-9,6,8,-0.33,0.0,-0.33,1.6,1.8,1.2,0.6,1.0,2.0,1.0,13,14,-1,6,0,9,0,-6,17,8,6,5,0,0,1,1.3325399310992796,1.2776280323450138,-1,-5,4,2,-3
2024-09-14,2425,Freiburg,Bochum,H,6,7,8,-1,0,1,10,-9,6,8,-0.33,0.0,-0.33,1.6,1.8,1.2,0.6,1.0,2.0,1.0,13,14,-1,6,0,9,0,-6,17,8,6,5,0,0,1,1.3325399310992796,1.2776280323450138,-1,-5,4,2,-3
2024-09-14,2425,M'gladbach,Stuttgart,A,6,8,10,-2,5,12,12,0,1,-2,1.67,-1.33,3.0,0.4,1.2,1.8,0.8,1.2,2.0,-0.4,14,14,0,6,2,6,2,-4,14,8,4,2,0,3,1,1.692241846904875,1.5947299077733859,-1,0,-1,-2,-1
2024-09-14,2425,Wolfsburg,Ein Frankfurt,A,6,9,9,0,7,8,8,0,-1,0,2.0,1.33,0.6699999999999999,1.2,1.8,1.8,0.2,0.4,2.0,1.0,14,14,0,6,2,7,6,0,10,3,0,3,2,0,1,1.6788850091531629,1.6325767848667705,-3,0,-3,-1,-2
2024-09-15,2425,Mainz,Werder Bremen,A,7,11,9,2,7,8,5,3,0,-1,-1.33,-0.67,-0.66,1.8,2.0,0.8,1.2,1.6,2.0,0.6000000000000001,15,15,0,4,0,14,4,0,13,-1,0,2,1,2,1,1.4299189775578007,1.3429481156696943,0,0,0,0,0
2024-09-15,2425,Augsburg,St Pauli,H,2,5,14,-9,0,0,6,-6,2,-3,0.0,0.0,0.0,1.0,1.2,1.6,0.0,0.0,1.0,1.0,14,16,-2,2,-8,15,0,-6,16,1,2,0,0,0,1,1.2026239067055393,0.0,-2,-4,2,0,-2
2024-09-15,2425,Mainz,Werder Bremen,A,7,11,9,2,7,8,5,3,0,-1,-1.33,-0.67,-0.66,1.8,2.0,0.8,1.2,1.6,2.0,0.6000000000000001,15,15,0,4,0,14,4,0,13,-1,0,2,1,2,1,1.4299189775578007,1.3429481156696943,0,0,0,0,0
