Date,Season,HomeTeam,AwayTeam,Result,home_form_points,home_form_gf,home_form_ga,home_form_gd,away_form_points,away_form_gf,away_form_ga,away_form_gd,form_points_diff,form_gd_diff,home_trend,away_trend,trend_diff,home_home_ppg,home_home_gf,home_home_ga,away_away_ppg,away_away_gf,away_away_ga,home_advantage,home_days_rest,away_days_rest,rest_diff,home_season_points,home_season_gd,home_season_position,away_season_points,away_season_gd,away_season_position,position_diff,points_diff_season,h2h_home_wins,h2h_draws,h2h_away_wins,season_phase
2025-09-20,2526,Hoffenheim,Bayern Munich,A,2.0,2.8666666666666667,2.2666666666666666,0.6000000000000001,3.0,4.4,0.6666666666666666,3.733333333333334,-1.0,-3.1333333333333337,1.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,-3.0,7,7,0,12,2,6,18,24,1,-5,-6,0,0,0,1
2025-09-20,2526,Augsburg,Mainz,A,0.2,1.4666666666666666,2.2666666666666666,-0.8,0.3333333333333333,0.3333333333333333,1.0,-0.6666666666666667,-0.1333333333333333,-0.1333333333333333,-1.5,-0.33333333333333337,-1.1666666666666665,0.0,2.0,3.0,1.0,1.0,1.0,-1.0,6,7,-1,6,0,12,2,-4,15,3,4,0,0,0,1
2025-09-20,2526,Hamburg,Heidenheim,H,0.06666666666666667,0.0,3.6666666666666665,-3.6666666666666665,0.0,0.06666666666666667,2.066666666666667,-2.0,0.06666666666666667,-1.6666666666666665,-0.5,0.0,-0.5,0.0,0.0,2.0,0.0,0.0,2.0,0.0,7,7,0,2,-14,17,0,-12,18,1,2,0,0,0,1
2025-09-20,2526,Werder Bremen,Freiburg,A,2.1333333333333333,3.466666666666667,1.2666666666666666,2.2,1.8,2.2,2.1333333333333333,0.06666666666666687,0.33333333333333326,2.1333333333333333,2.1666666666666665,2.5,-0.3333333333333335,1.0,3.0,3.0,0.0,1.0,4.0,1.0,6,7,-1,8,2,10,6,-6,13,3,2,0,0,0,1
2025-09-20,2526,Hamburg,Heidenheim,H,0.06666666666666667,0.0,3.6666666666666665,-3.6666666666666665,0.0,0.06666666666666667,2.066666666666667,-2.0,0.06666666666666667,-1.6666666666666665,-0.5,0.0,-0.5,0.0,0.0,2.0,0.0,0.0,2.0,0.0,7,7,0,2,-14,17,0,-12,18,1,2,0,0,0,1
2025-09-20,2526,RB Leipzig,FC Koln,H,2.8,1.2666666666666666,0.4,0.8666666666666666,1.8,3.2,2.1333333333333333,1.0666666666666669,0.9999999999999998,-0.2000000000000003,1.5,-1.6666666666666667,3.166666666666667,3.0,2.0,0.0,2.4,1.6,0.9,0.6000000000000001,7,7,0,12,-6,8,14,8,3,-5,-2,0,0,0,1
2025-09-20,2526,RB Leipzig,FC Koln,H,2.8,1.2666666666666666,0.4,0.8666666666666666,1.8,3.2,2.1333333333333333,1.0666666666666669,0.9999999999999998,-0.2000000000000003,1.5,-1.6666666666666667,3.166666666666667,3.0,2.0,0.0,2.4,1.6,0.9,0.6000000000000001,7,7,0,12,-6,8,14,8,3,-5,-2,0,0,0,1
2025-09-20,2526,Augsburg,Mainz,A,0.2,1.4666666666666666,2.2666666666666666,-0.8,0.3333333333333333,0.3333333333333333,1.0,-0.6666666666666667,-0.1333333333333333,-0.1333333333333333,-1.5,-0.33333333333333337,-1.1666666666666665,0.0,2.0,3.0,1.0,1.0,1.0,-1.0,6,7,-1,6,0,12,2,-4,15,3,4,0,0,0,1
2025-09-20,2526,Hoffenheim,Bayern Munich,A,2.0,2.8666666666666667,2.2666666666666666,0.6000000000000001,3.0,4.4,0.6666666666666666,3.733333333333334,-1.0,-3.1333333333333337,1.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,-3.0,7,7,0,12,2,6,18,24,1,-5,-6,0,0,0,1
2025-09-20,2526,Werder Bremen,Freiburg,A,2.1333333333333333,3.466666666666667,1.2666666666666666,2.2,1.8,2.2,2.1333333333333333,0.06666666666666687,0.33333333333333326,2.1333333333333333,2.1666666666666665,2.5,-0.3333333333333335,1.0,3.0,3.0,0.0,1.0,4.0,1.0,6,7,-1,8,2,10,6,-6,13,3,2,0,0,0,1
2025-09-21,2526,Dortmund,Wolfsburg,H,2.8666666666666667,2.4,0.2,2.1999999999999997,1.1333333333333333,2.3333333333333335,2.2,0.1333333333333333,1.7333333333333334,2.0666666666666664,1.0,-1.0,2.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,8,8,0,14,10,3,10,4,10,7,4,0,0,0,1
2025-09-21,2526,Leverkusen,M'gladbach,D,2.1333333333333333,2.8666666666666667,1.7333333333333334,1.1333333333333333,0.06666666666666667,0.0,2.7333333333333334,-2.7333333333333334,2.0666666666666664,3.8666666666666667,2.1666666666666665,-0.5,2.6666666666666665,0.9,1.6,1.7,0.0,0.0,1.0,0.9,9,7,2,8,2,11,2,-10,17,6,6,0,0,0,1
2025-09-21,2526,Leverkusen,M'gladbach,D,2.1333333333333333,2.8666666666666667,1.7333333333333334,1.1333333333333333,0.06666666666666667,0.0,2.7333333333333334,-2.7333333333333334,2.0666666666666664,3.8666666666666667,2.1666666666666665,-0.5,2.6666666666666665,0.9,1.6,1.7,0.0,0.0,1.0,0.9,9,7,2,8,2,11,2,-10,17,6,6,0,0,0,1
2025-09-21,2526,Ein Frankfurt,Union Berlin,A,1.2,1.8666666666666667,2.2,-0.3333333333333335,0.2,1.3333333333333333,3.466666666666667,-2.1333333333333337,1.0,1.8000000000000003,-2.5,-1.5,-1.0,3.0,4.0,1.0,0.0,0.0,3.0,3.0,9,8,1,12,6,6,6,-8,16,10,6,0,0,0,1
2025-09-21,2526,Ein Frankfurt,Union Berlin,A,1.2,1.8666666666666667,2.2,-0.3333333333333335,0.2,1.3333333333333333,3.466666666666667,-2.1333333333333337,1.0,1.8000000000000003,-2.5,-1.5,-1.0,3.0,4.0,1.0,0.0,0.0,3.0,3.0,9,8,1,12,6,6,6,-8,16,10,6,0,0,0,1
